train_data;train_labels: 0:2800;batch_size: 10;model8
test_data;test_labels: 2800:3100;batch_size: 5
type;learning rate;momentum;neurons;filers;epoch 1;epoch 2; ... 
train;0.01;0.8;0.999;0.1;1.0414378061890601;0.8127485628638949;0.6686064007026808;0.6162057574306216
valid;0.01;0.8;0.999;0.1;0.8935234109560649;0.8238631695508957;0.7014096048971017;0.6562446127335231
pred_1;0.01;0.8;0.999;0.1;0.07928571605256625;0.351785719660776;0.3835714337282947;0.41035714862602096
act_1;0.01;0.8;0.999;0.1;0.4175000068332468;0.420000006790672;0.41607143548982484;0.42071429256881987
train;0.01;0.8;0.999;1;1.1079039409756661;1.0720357794846807;1.0177547165325709;0.9200036521468844
valid;0.01;0.8;0.999;1;1.0930360674858093;1.049901419878006;0.9597919762134552;0.8807001789410909
pred_1;0.01;0.8;0.999;1;0.18357142824679612;0.03035714336271797;0.131428573786148;0.27571429131286485
act_1;0.01;0.8;0.999;1;0.41821429255817616;0.41892857822988716;0.4171428639707821;0.4182142926380038
train;0.01;0.9;0.999;0.1;1.0211505485432488;0.8098930676068579;0.6834350894604411;0.6019649774900504
valid;0.01;0.9;0.999;0.1;0.9251150449117025;0.7373834947745005;0.5833484592537085;0.5913224051396052
pred_1;0.01;0.9;0.999;0.1;0.08678571597806045;0.35321429137672694;0.3528571486473083;0.3875000058540276
act_1;0.01;0.9;0.999;0.1;0.41928572106574263;0.41642857837889874;0.41964286400803497;0.41964286379516125
train;0.01;0.9;0.999;1;1.105259307367461;1.0703631154128483;1.0375099922929492;0.9989464825817517
valid;0.01;0.9;0.999;1;1.0844652811686197;1.0519061148166657;1.0163569003343582;0.9658235172430675
pred_1;0.01;0.9;0.999;1;0.4064285718702844;0.0003571428624647004;0.0035714286246470044;0.05000000087810414
act_1;0.01;0.9;0.999;1;0.41928572106574263;0.4185714356069054;0.416428578166025;0.41928572111896106
train;0.1;0.8;0.999;0.1;0.8311792652521814;0.6851591014436313;0.6844525394695146;0.6833265059760638
valid;0.1;0.8;0.999;0.1;0.6871874819199244;0.6809325024485589;0.6841392209132512;0.6866747577985127
pred_1;0.1;0.8;0.999;0.1;0.02285714263894728;0.025;0.08214285714285714;0.03571428571428571
act_1;0.1;0.8;0.999;0.1;0.4178571497223207;0.41892857822988716;0.4175000068332468;0.4192857211455703
train;0.1;0.8;0.999;1;1.046410821378231;0.8208008649093764;0.6849517678575856;0.6277997794960226
valid;0.1;0.8;0.999;1;0.8963789055744807;0.717618764936924;0.5989594114323457;0.5473775203029315
pred_1;0.1;0.8;0.999;1;0.10071428700217179;0.3375000059604645;0.37714286244341305;0.37464286291173526
act_1;0.1;0.8;0.999;1;0.4178571497223207;0.41821429250495773;0.4178571497755391;0.4182142926113946
train;0.1;0.9;0.999;0.1;0.8255137349878039;0.683504868298769;0.6820807147238935;0.6881949231028557
valid;0.1;0.9;0.999;0.1;0.6891669412453969;0.6818990990519523;0.6906464358170827;0.719083788494269
pred_1;0.1;0.9;0.999;0.1;0.12964285777083465;0.040714285735573084;0.010714285714285714;0.08928571428571429
act_1;0.1;0.9;0.999;0.1;0.41821429255817616;0.4185714353940317;0.4178571497223207;0.4207142926220383
train;0.1;0.9;0.999;1;1.0332499510475568;0.8161579523767744;0.6870974436402321;0.6395699119993619
valid;0.1;0.9;0.999;1;0.9290390729904174;0.7431858698527019;0.7043616155783335;0.639343531926473
pred_1;0.1;0.9;0.999;1;0.04928571422185216;0.30214286225714854;0.3664285771548748;0.39285714879099815
act_1;0.1;0.9;0.999;1;0.4178571497223207;0.4171428639707821;0.42142857826714003;0.4157142925741417
train;1;0.8;0.999;0.1;0.7599503478833607;0.7192905465407031;0.7183663957885333;0.718643294274807
valid;1;0.8;0.999;0.1;0.7514243831237157;0.6794920901457469;0.7326386441787084;0.8555562376976014
pred_1;1;0.8;0.999;0.1;0.2357142857142857;0.2571428571428571;0.26071428571428573;0.2714285714285714
act_1;1;0.8;0.999;0.1;0.4185714353940317;0.41821429255817616;0.41785714966910226;0.41785714964249304
train;1;0.8;0.999;1;0.8301409054015364;0.6892541197793824;0.6882482771362577;0.6889180736882347
valid;1;0.8;0.999;1;0.6914269685745239;0.6967988083759944;0.6965875764687856;0.6823671946922938
pred_1;1;0.8;0.999;1;0.1460714296304754;0.06428571428571428;0.07857142857142857;0.06785714285714285
act_1;1;0.8;0.999;1;0.4175000068332468;0.41928572111896106;0.4185714354206409;0.41678572113492657
train;1;0.9;0.999;0.1;0.7486324765852519;0.7171797612948078;0.7072847681386131;0.7198399764086519
valid;1;0.9;0.999;0.1;0.7181398322184881;0.7101752082506816;0.7201276004314423;0.7826668197909991
pred_1;1;0.9;0.999;0.1;0.254285714296358;0.30357142857142855;0.275;0.2857142857142857
act_1;1;0.9;0.999;0.1;0.41821429255817616;0.4182142924783485;0.4182142925847854;0.4175000068864652
train;1;0.9;0.999;1;0.8309204549661704;0.6863817478929247;0.6853752504502024;0.6908636666834355
valid;1;0.9;0.999;1;0.6905456801255544;0.6997084021568298;0.6875060454010964;0.689212832848231
pred_1;1;0.9;0.999;1;0.08964285741427115;0.075;0.09285714285714286;0.08928571428571429
act_1;1;0.9;0.999;1;0.4178571497223207;0.41785714966910226;0.4171428639707821;0.42142857832035846
